keys,values
.missing,.na
.regex .*hayden.*,ada hayden
.regex ^a.*hill.*,a. hill
.regex .*mulf.*,a. isabel mulford
.regex ^a.*l.*hersh.*|^hershey.*l.*|^hershey$,arthur leroy hershey
.regex .*a. lee.*,a. lee
.regex .*a.*m.*sanch.*|.*sanch.*a.*m.*,a. m. sanchez
.regex ^a.*ledi.*|^led.*a.*r.*,a. r. leding
.regex ^a.*hitch.*,a. s. hitchcock
.regex .*warf.*,a. warford
.regex .*zimmerman.*,alan d. zimmerman
.regex .*jaha.*,ali jafary jahaghy
.regex ^a.*sander*,andrew c. sanders
.regex ^a.*hinc.*|^hinc.*a.*,arthur l. hinckley
.regex ^a.*nelson.*,aven nelson
.regex ^b.*weber.*|^web.*b$,bruce e. weber
.regex .*gumi.*,b. j. guminski
.regex .*koon.*,b. koontz
.regex .*benjamin.*ev.*,benjamin l. everitt
.regex .*prado.*,bernardo prado
.regex .*kennedy.*,c. a. kennedy
.regex ^baker.*c.*|^c.*baker.*,c. f. baker
.regex .*barll.*|.*c.t.*bart.*|^bart.*ct,c. t. bartlett
.regex .*forsling.*,c. l. forsling
.regex .*zum.*,c. w. zumwalt
.regex .*carlot.*,carlotta emslie
.regex ^c.*suther.*|^suther.*c.*,carol sutherland
.regex ^c.*parry.*|^parry.*c.*,charles c. parry
.regex ^c.*hitch.*,charles l. hitchcock
.regex .*^c.*wright.*|.*^wright.*c.*,charles wright
.regex .*cheryl.*mc.*,cheryl mcconnell
.regex .*chest.*,chester m. rowell
.regex .*stubb.*,chris stubben
.regex .*christian.*k.*,christian knowlton
.regex ^smith.*c.*s.*n.*,christy s. n. smith
.regex .*claren.*,clarence l. forsling
.regex .*craig.*c.*|^freeman.*,craig freeman
.regex .*bearden.*,d. a. bearden
.regex ^d.*zimm.*man.*,d. a. zimmerman
.regex ^d.b.*dunn.*|^d.*dunn$,david baxter dunn
.regex ^d.*b.*ward.*,d. b. ward
.regex .*bennet.*d.*|^d.*bennet.*,d. bennett
".regex ^d.*e.*ward.*|^d.*e.*ward.*|^e..*ward,.*|^e. ward &.*|^e. ward and.*|^ward, e.*|^e ward.*|^ward$|^ward, d.e.$",darrell eugene ward
.regex ^d.*austin.*,d. f. austin
.regex ^d.*g.*johnso.*|^johnson.*d.*,d. g. johnson
.regex ^d.*g.*ward.*,d. g. ward
.regex .*heep.*,don heep
.regex ^d.*pinkava.*,d. j. pinkava
